source,title,description,author,publishedAt,url,sentimentScore,neg,neu,pos,compound
ABC News,"Texas Gov. Greg Abbott says diversity efforts 'illegal,' state agencies should stop","The memo, from Texas Gov. Greg Abbott's office, said diversity efforts in hiring ""proactively encourage discrimination.""",Max Zahn,2023-02-10 17:06:36+00:00,https://abcnews.go.com/US/texas-gov-greg-abbott-calls-diversity-efforts-illegal/story?id=97003219,-1.0,0.392,0.608,0.0,-0.7003
ABC News,Texas AG settles with former aides who reported him to FBI,"Texas Attorney General Ken Paxton has agreed to apologize and pay $3.3 million in taxpayer money to four former staffers who accused him of corruption in 2020, igniting an ongoing FBI investigation into the three-term Republican",JAKE BLEIBERG Associated Press,2023-02-10 17:23:58+00:00,https://abcnews.go.com/Politics/wireStory/texas-ag-settles-former-aides-reported-fbi-97035632,0.0,0.0,1.0,0.0,0.0
ABC News,'Invasion' language continues after El Paso Walmart shooting,The suspected gunman in the racist 2019 attack at a Walmart in El Paso that killed 23 people is expected to plead guilty to federal hate crime and firearms charges,MORGAN LEE and PAUL J. WEBER Associated Press,2023-02-08 06:24:19+00:00,https://abcnews.go.com/US/wireStory/invasion-language-continues-after-el-paso-walmart-shooting-96971730,0.0,0.0,1.0,0.0,0.0
ABC News,Texas AG settles with former aides who reported him to FBI,"Texas Attorney General Ken Paxton has agreed to apologize and pay $3.3 million in taxpayer money to four former staffers who accused him of corruption in 2020, igniting an ongoing FBI investigation into the three-term Republican",JAKE BLEIBERG Associated Press,2023-02-10 17:54:39+00:00,https://abcnews.go.com/US/wireStory/texas-ag-settles-former-aides-reported-fbi-97035455,0.0,0.0,1.0,0.0,0.0
ABC News,Texas AG settles with former aides who reported him to FBI,"Texas Attorney General Ken Paxton has agreed to apologize and pay $3.3 million in taxpayer money to four former staffers who accused him of corruption in 2020, igniting an ongoing FBI investigation into the three-term Republican",JAKE BLEIBERG Associated Press,2023-02-10 18:09:32+00:00,https://abcnews.go.com/Business/wireStory/texas-ag-settles-former-aides-reported-fbi-97035792,0.0,0.0,1.0,0.0,0.0
Breitbart News,"Texas Gov. Greg Abbott Announces 'Security Plan' to Prohibit TikTok on State Government-Issued Devices, State Networks","Texas Gov. Greg Abbott (R) announced a ""statewide model security plan"" for state employees and contractors to follow that prohibits TikTok and other software on government-issued devices as well as the use of prohibited technology-enabled personal devices on …","Jacob Bliss, Jacob Bliss",2023-02-06 22:57:52+00:00,https://www.breitbart.com/politics/2023/02/06/texas-gov-greg-abbott-announces-security-plan-prohibit-tiktok-state-government-issued-devices-state-networks/,1.0,0.0,0.844,0.156,0.34
Breitbart News,Poll: Donald Trump Double Digits Ahead of Potential GOP Challengers,"Former President Donald Trump is ahead of his potential 2024 Republican challengers by double digits, a Tuesday Morning Consult survey found.","Hannah Bleau, Hannah Bleau",2023-02-08 21:07:55+00:00,https://www.breitbart.com/politics/2023/02/08/poll-donald-trump-double-digits-ahead-of-potential-gop-challengers/,1.0,0.0,0.851,0.149,0.1027
Breitbart News,Whoopi Goldberg: Biden Needs to Address GOP 'Freaks' Trying to 'Change History',"Whoopi Goldberg told her co-hosts Tuesday on ABC's ""The View"" that during the State of the Union address, President Joe Biden should call out  Republicans who she accuses of trying to ""change history."" | Clips","Pam Key, Pam Key",2023-02-07 19:14:38+00:00,https://www.breitbart.com/clips/2023/02/07/whoopi-goldberg-biden-needs-to-address-gop-freaks-trying-to-change-history/,-1.0,0.135,0.865,0.0,-0.1027
CBS News,"FAA proposes $1M fine for United Airlines: CBS News Flash Feb. 7, 2023","The FAA is proposing a fine of more than $1 million on United Airlines over preflight safety checks. New York City is lifting its COVID vaccine mandate for public workers this week. And as concerns grow over China's ability to gather information on the U.S., …",CBS News,2023-02-07 11:06:45+00:00,https://www.cbsnews.com/video/faa-proposes-1m-fine-for-united-airlines-cbs-news-flash-feb-7-2023/,1.0,0.0,0.662,0.338,0.5574
CBS News,El Paso Walmart shooter pleads guilty to federal hate crimes,The guilty plea entered by Patrick Crusius came amid prosecution delays that have made the case drag on for more than three years.,,2023-02-08 22:31:37+00:00,https://www.cbsnews.com/news/walmart-shooter-el-paso-patrick-crusius-pleads-guilty-hate-crimes-for-killing-23/,-1.0,0.481,0.519,0.0,-0.7579
