source,title,description,author,publishedAt,url,sentimentScore,neg,neu,pos,compound
ABC News,"Virginia agency won't release 1,700 records on Ford talks","Virginia’s economic development agency says it has at least 1,700 emails and documents pertaining to talks about the possibility of a Ford Motor Co. battery plant landing at a Danville-area megasite",SARAH RANKIN Associated Press,2023-02-08 21:23:55+00:00,https://abcnews.go.com/Politics/wireStory/virginia-agency-release-1700-records-ford-talks-96987846,0.0,0.0,1.0,0.0,0.0
ABC News,Conservative groups look beyond Trump for 2024 GOP nominee,Two major conservative groups have signaled they are open to supporting someone other than Donald Trump in the 2024 race for the White House,MICHELLE L. PRICE Associated Press,2023-02-07 20:54:32+00:00,https://abcnews.go.com/Politics/wireStory/conservative-groups-trump-2024-gop-nominee-96958905,0.0,0.0,1.0,0.0,0.0
ABC News,Schools become flashpoint for Republicans eyeing White House,Former President Donald Trump has called for parents to elect and fire school principals,MICHELLE L. PRICE Associated Press,2023-02-11 05:54:26+00:00,https://abcnews.go.com/Politics/wireStory/schools-become-flashpoint-republicans-eyeing-white-house-97051283,0.0,0.0,1.0,0.0,0.0
ABC News,"Virginia agency won't release 1,700 records on Ford talks","Virginia’s economic development agency says it has at least 1,700 emails and documents pertaining to talks about the possibility of a Ford Motor Co. battery plant landing at a Danville-area megasite",SARAH RANKIN Associated Press,2023-02-08 21:23:39+00:00,https://abcnews.go.com/US/wireStory/virginia-agency-release-1700-records-ford-talks-96987697,0.0,0.0,1.0,0.0,0.0
ABC News,"Virginia agency won't release 1,700 records on Ford talks","Virginia’s economic development agency says it has at least 1,700 emails and documents pertaining to talks about the possibility of a Ford Motor Co. battery plant landing at a Danville-area megasite",SARAH RANKIN Associated Press,2023-02-08 21:24:05+00:00,https://abcnews.go.com/Business/wireStory/virginia-agency-release-1700-records-ford-talks-96988052,0.0,0.0,1.0,0.0,0.0
Associated Press,Virginia Senate Democrats reject 3 Youngkin appointees,"Virginia Senate Democrats have voted to reject several appointees of GOP Gov. Glenn Youngkin, including the state health commissioner. The governor is calling the move “shameful.” The chamber approved resolutions containing dozens of Youngkin appointees after…",By SARAH RANKIN and DENISE LAVOIE - Associated Press,2023-02-08 02:58:54+00:00,https://apnews.com/8bd0db2c81f0455944286381189c86dd,-1.0,0.351,0.649,0.0,-0.4019
Associated Press,"Virginia agency won't release 1,700 records on Ford talks","Virginia’s economic development agency says it has at least 1,700 emails and documents pertaining to talks about the possibility of a Ford Motor Co. battery plant landing at a Danville-area megasite. But it won’t release any of them under the…",By SARAH RANKIN - Associated Press,2023-02-08 21:11:26+00:00,https://apnews.com/ff53a45361a79b91454d3bedec06aa5a,0.0,0.0,1.0,0.0,0.0
Associated Press,"Virginia House, Senate budgets conflict on tax cuts",The Virginia Senate and House of Delegates have passed competing budget bills with a key difference on the issue of tax cuts. The legislation will have to be melded in the coming weeks before a spending plan goes to Republican…,By SARAH RANKIN - Associated Press,2023-02-09 22:08:25+00:00,https://apnews.com/f6deae659019c7e93922645ef4ca076a,-1.0,0.474,0.526,0.0,-0.5423
Associated Press,Virginia lawmakers hustle as key session deadline approaches,The politically divided Virginia General Assembly has churned through hundreds of bills ahead of a key deadline for the year’s legislative session. Lawmakers debated topics ranging from accommodations for transgender students to abortion restrictions to energ…,By SARAH RANKIN and DENISE LAVOIE - Associated Press,2023-02-07 23:17:33+00:00,https://apnews.com/af90128104dd1f9b08f8b9ab461976e5,0.0,0.0,1.0,0.0,0.0
Associated Press,Conservative groups look beyond Trump for 2024 GOP nominee,Two major conservative groups have signaled they are open to supporting someone other than Donald Trump in the 2024 race for the White House. Club for Growth President David McIntosh says his group has invited a half dozen potential Republican…,By MICHELLE L. PRICE - Associated Press,2023-02-07 20:41:38+00:00,https://apnews.com/200055deeb8f91d9bbbb16882110332d,0.0,0.0,1.0,0.0,0.0
Associated Press,Schools become flashpoint for Republicans eyeing White House,"Former President Donald Trump has called for parents to elect and fire school principals. Florida Gov. Ron DeSantis has banned instruction on sexual orientation and gender identity in kindergarten through third grade. And Nikki Haley, the former United Nation…",By MICHELLE L. PRICE - Associated Press,2023-02-11 05:30:19+00:00,https://apnews.com/c65049b0c64206996dd1bea4cee65b81,0.0,0.0,1.0,0.0,0.0
Bloomberg,Ford Picks Michigan for Electric-Car Battery Plant With China's CATL,"Ford Motor Co. and Contemporary Amperex Technology Co. Ltd. plan to build a battery plant in Michigan, according to people familiar with the matter, capping a monthslong search that became mired in geopolitical tensions between the US and China.",Gabrielle Coppola,2023-02-10 21:50:23+00:00,https://www.bloomberg.com/news/articles/2023-02-10/ford-set-to-pick-michigan-for-battery-plant-with-chinese-partner,0.0,0.0,1.0,0.0,0.0
Breitbart News,Poll: Trump Boasts Highest Favorability in Hypothetical 2024 Republican Field,"Former President Donald Trump boasts the highest favorability in a hypothetical 2024 Republican presidential primary, a Morning Consult survey released this week found.","Hannah Bleau, Hannah Bleau",2023-02-10 19:07:53+00:00,https://www.breitbart.com/2024-election/2023/02/10/poll-trump-boasts-highest-favorability-hypothetical-2024-republican-field/,0.0,0.0,1.0,0.0,0.0
Breitbart News,Poll: Donald Trump Double Digits Ahead of Potential GOP Challengers,"Former President Donald Trump is ahead of his potential 2024 Republican challengers by double digits, a Tuesday Morning Consult survey found.","Hannah Bleau, Hannah Bleau",2023-02-08 21:07:55+00:00,https://www.breitbart.com/politics/2023/02/08/poll-donald-trump-double-digits-ahead-of-potential-gop-challengers/,1.0,0.0,0.851,0.149,0.1027
Breitbart News,Virginia Education Board Member Denied Confirmation After Criticizing Socialism,A Virginia woman who advocated for “traditional American values” was kicked from the Virginia Board of Education after contending that socialism is “incompatible with freedom.”,"Spencer Lindquist, Spencer Lindquist",2023-02-08 18:18:53+00:00,https://www.breitbart.com/education/2023/02/08/virginia-education-board-member-denied-confirmation-after-criticizing-socialism/,-1.0,0.435,0.565,0.0,-0.6597
Breitbart News,"Democrat Tim Kaine's Wife Denounces Declaration of Independence, Constitution as 'Fundamental in Enshrining Slavery'","Anne Holton, wife of U.S. Sen. Tim Kaine (D-VA), denounced the Declaration of Independence and Constitution as ""fundamental in enshrining slavery.""","Breccan F. Thies, Breccan F. Thies",2023-02-04 00:52:46+00:00,https://www.breitbart.com/politics/2023/02/03/democrat-tim-kaines-wife-denounces-declaration-of-independence-constitution-as-fundamental-in-enshrining-slavery/,-1.0,0.461,0.539,0.0,-0.8271
Breitbart News,Exclusive: Virginia AG Jason Miyares Looks to Unseat Left-Wing Prosecutors Across the Country,"Virginia Attorney General Jason Miyares (R) is targeting left-wing prosecutors who ""really view themselves as social workers"" in the 2023 election cycle.","Breccan F. Thies, Breccan F. Thies",2023-02-05 21:02:31+00:00,https://www.breitbart.com/politics/2023/02/05/exclusive-virginia-ag-jason-miyares-looks-to-unseat-left-wing-prosecutors-across-the-country/,1.0,0.0,0.87,0.13,0.128
Business Insider,CBS News pressed Sen. Ted Cruz on why he's running for reelection after he introduced a bill limiting senators to 2 terms in office: 'Why aren't you holding yourself to that standard?',"""If and when it passes, I will happily, happily comply. I've never said I'm going to unilaterally comply,"" Cruz told CBS of running for a third term.",insider@insider.com (John L. Dorman),2023-02-05 18:20:49+00:00,https://www.businessinsider.com/cruz-seeks-third-senate-term-backs-two-term-constitutional-amendment-2023-2,0.0,0.0,1.0,0.0,0.0
CBS News,"Trump, potential 2024 GOP contenders respond to Biden's State of the Union","Their responses offered an early preview of how they might run against Biden, their likely opponent in 2024.",Aaron Navarro,2023-02-08 05:38:16+00:00,https://www.cbsnews.com/news/trump-response-biden-state-of-the-union/,0.0,0.0,1.0,0.0,0.0
CBS News,Trump leads GOP 2024 primary field narrowly in poll of conservatives,"But in a head-to-head matchup between Trump and DeSantis, DeSantis has more support, according to a new poll by the conservative group Club for Growth Action.",Aaron Navarro,2023-02-07 02:13:45+00:00,https://www.cbsnews.com/news/trump-desantis-opinion-poll-club-for-growth-2023-02-06/,0.0,0.0,1.0,0.0,0.0
CBS News,More than half of U.S. states are moving to cut your taxes,"As states' ""rainy day funds"" reach a record, some state leaders want to eliminate their income tax entirely.",Aimee Picchi,2023-02-07 20:47:54+00:00,https://www.cbsnews.com/news/tax-cuts-states-proposing-tax-reductions-2023/,-1.0,0.259,0.741,0.0,-0.2732
CBS News,"U.S. states are flush with cash. It's sparking ""tax cut fever.""",Some state officials want to eliminate their income tax entirely. But experts warn of risks from a slowing economy.,Aimee Picchi,2023-02-09 15:24:00+00:00,https://www.cbsnews.com/news/taxes-2023-27-states-want-to-cut-taxes-as-rainy-day-funds-reach-records/,-1.0,0.208,0.792,0.0,-0.2732
CNN,Republicans elevate 'parental rights' as top issue while looking to outflank each other heading into 2024,"Republican presidential hopefuls have begun casting themselves as impassioned defenders of ""parental rights,"" turning schoolbooks and curricula, doctors' offices, and sports leagues into a new political battleground as they work to distinguish themselves ahea…","Gabby Orr, Steve Contorno",2023-02-04 14:09:30+00:00,https://www.cnn.com/2023/02/04/politics/republicans-2024-parental-rights-trump-desantis/index.html,1.0,0.0,0.833,0.167,0.2023
Fox News,Indian immigrant rips Democrats who rejected her nomination to education board: 'Blatant lies and smears',Gov. Glenn Youngkin appointee Suparna Dutta spoke with 'Fox & Friends First' after her Virginia Board of Education nomination was rejected following her defense of the Constitution.,Taylor Penley,2023-02-09 18:00:13+00:00,https://www.foxnews.com/media/indian-immigrant-rips-democrats-rejected-nomination-education-board-blatant-lies-smears,-1.0,0.404,0.596,0.0,-0.7269
Fox News,Gov. Youngkin rips Black Lives Matter curriculum as ‘politically-driven',Gov. Glenn Youngkin's office ripped a teachers union for releasing a toolkit that pushes the 13 Guiding Principles of the Black Lives Matter movement in schools.,Joshua Nelson,2023-02-10 12:30:08+00:00,https://www.foxnews.com/media/gov-youngkin-rips-black-lives-matter-curriculum-politically-driven,1.0,0.0,0.864,0.136,0.0258
