source,title,description,author,publishedAt,url,sentimentScore,neg,neu,pos,compound
ABC News,"Donald Trump allowed back on Facebook and Instagram, Meta announces","Meta announced Wednesday that it is allowing former President Donal Trump back on Facebook and Instagram ""in the coming weeks.",Meredith Deliso,2023-01-25 22:11:50+00:00,https://abcnews.go.com/Politics/donald-trump-allowed-back-facebook-instagram-meta-announces/story?id=96673615,0.0,0.0,1.0,0.0,0.0
ABC News,Arizona Republicans pick former Trump official to lead party,Arizona Republicans have selected former state treasurer and Donald Trump aide Jeff DeWit to be the party’s next chairman,JONATHAN J. COOPER Associated Press,2023-01-29 02:53:35+00:00,https://abcnews.go.com/Politics/wireStory/arizona-republicans-pick-former-trump-official-lead-party-96744690,1.0,0.0,0.722,0.278,0.4019
ABC News,California Bar seeks to disbar ex-Trump attorney over quest to overturn 2020 election,The State Bar of California on Thursday filed a notice of disciplinary charges against former Donald Trump attorney John Eastman,Alexander Mallin,2023-01-27 03:17:43+00:00,https://abcnews.go.com/Politics/california-bar-seeks-disbar-trump-attorney-quest-overturn/story?id=96707576,0.0,0.0,1.0,0.0,0.0
ABC News,Trump kicks off 2024 bid with events in early voting states,Former President Donald Trump is set to kick off his 2024 White House bid with visits to a pair of early voting states,MEG KINNARD and JILL COLVIN Associated Press,2023-01-28 05:53:47+00:00,https://abcnews.go.com/Politics/wireStory/trump-kicks-off-2024-bid-events-early-voting-96736372,0.0,0.0,1.0,0.0,0.0
ABC News,"Mike Pompeo's memoir stirs controversy with passages on Nikki Haley, Jamal Khashoggi",Mike Pompeo's new memoir is drawing fire over sections about his Trump administration colleague Nikki Haley and the slain journalist Jamal Khashoggi,Ella McCarthy,2023-01-25 01:07:55+00:00,https://abcnews.go.com/Politics/mike-pompeos-memoir-stirs-controversy-passages-nikki-haley/story?id=96640038,0.0,0.0,1.0,0.0,0.0
ABC News,"Senators on intel panel demand to see Biden, Trump docs -- in rare bipartisan outrage",Senate Intelligence Committee members threatened to grind the chamber's business to a halt unless they get access to classified documents seized from Biden and Trump,"Trish Turner, Allison Pecorin",2023-01-26 01:03:58+00:00,https://abcnews.go.com/Politics/senators-intel-committee-demand-biden-trump-docs-rare/story?id=96675201,-1.0,0.348,0.652,0.0,-0.5859
ABC News,Judge convicts Capitol rioter who yelled Pelosi threats,"A federal judge has convicted a Pennsylvania restaurant owner of storming the U.S. Capitol, where she screamed at police officers to bring out then-House Speaker Nancy Pelosi so the pro-Trump mob could hang her",MICHAEL KUNZELMAN Associated Press,2023-01-24 22:17:39+00:00,https://abcnews.go.com/Politics/wireStory/judge-convicts-capitol-rioter-yelled-pelosi-threats-96645828,-1.0,0.318,0.682,0.0,-0.4215
ABC News,Why would senators not be given access to the Biden and Trump classified documents?,"The administration isn't sharing documents with senators due to concerns about potential for interference with the investigations, a Justice Department official said","Ben Gittleson, Adam Carlson",2023-01-27 02:40:29+00:00,https://abcnews.go.com/Politics/senators-access-biden-trump-classified-documents/story?id=96703432,0.0,0.0,1.0,0.0,0.0
ABC News,Former Proud Boy testifies in Jan. 6 seditious conspiracy trial,Matthew Greene took the stand on Tuesday in the trial of the former leader of the Proud Boys and four associates,Quinn Owen,2023-01-24 22:17:22+00:00,https://abcnews.go.com/US/former-proud-boy-testifies-jan-6-seditious-conspiracy/story?id=96640828,-1.0,0.43,0.352,0.218,-0.4588
ABC News,Learning to lie: AI tools adept at creating disinformation,A popular online chatbot powered by artificial intelligence is proving to be adept at creating disinformation and propaganda,DAVID KLEPPER Associated Press,2023-01-24 15:55:18+00:00,https://abcnews.go.com/Business/wireStory/learning-lie-ai-tools-adept-creating-disinformation-96633820,1.0,0.0,0.732,0.268,0.296
