source,title,description,author,publishedAt,url,sentimentScore,neg,neu,pos,compound
Breitbart News,"Fail Upwards: U. of Chicago Selects Democrats Beto O’Rourke, Tim Ryan as 'Pritzker Fellows'","The University of Chicago's Institute of Politics (UCIP) announced that it has selected failed Democrat candidates Robert Francis ""Beto"" O'Rourke and Tim Ryan to join its Pritzker Fellows Program for the 2023 winter-spring term.","Alana Mastrangelo, Alana Mastrangelo",2023-02-03 18:54:52+00:00,https://www.breitbart.com/tech/2023/02/03/fail-upwards-u-of-chicago-selects-democrats-beto-orourke-tim-ryan-as-pritzker-fellows/,-1.0,0.259,0.741,0.0,-0.5423
Breitbart News,Chuck Schumer Predicts Democrat Victory as Republicans Demand Structural Reforms in Debt Ceiling Talks,Senate Majority Leader Chuck Schumer (D-NY) predicted that Democrats will win debt ceiling negotiations as Republicans demand structural reforms to spending.,"Sean Moran, Sean Moran",2023-01-30 17:15:54+00:00,https://www.breitbart.com/politics/2023/01/30/chuck-schumer-predicts-democrat-victory-republicans-demand-structural-reforms-debt-ceiling-talks/,-1.0,0.286,0.714,0.0,-0.4588
Breitbart News,Exclusive— Sen. Katie Britt Hammers Biden’s ‘Abdication of Leadership’ Ahead of Debt Ceiling Negotiations,Sen. Katie Britt (R-AL) hammered President Joe Biden’s “abdication of leadership” ahead of negotiations with Democrat Senate Leader Chuck Schumer (D-NY) and House Speaker Kevin McCarthy (R-CA) regarding the debt ceiling.,"Jordan Dixon-Hamilton, Jordan Dixon-Hamilton",2023-02-01 06:08:46+00:00,https://www.breitbart.com/politics/2023/01/31/exclusive-sen-katie-britt-hammers-bidens-abdication-leadership-debt-ceiling-negotiations/,-1.0,0.179,0.714,0.107,-0.25
Business Insider,Ron DeSantis has a 12-point lead over Donald Trump in a potential 2024 New Hampshire primary matchup: poll,"In the UNH poll, a little under half (46%) of GOP voters felt Trump should run for president again, while roughly 50% thought he should forgo a bid.",insider@insider.com (John L. Dorman),2023-01-28 17:29:39+00:00,https://www.businessinsider.com/desantis-leads-trump-new-hampshire-2024-republican-presidential-primary-poll-2023-1,0.0,0.0,1.0,0.0,0.0
Business Insider,Trump's political ascent was fueled by Southern Republicans. Now they're his main 2024 opponents,"In the 2016 GOP presidential primaries, Trump cleaned up in the South in advance of capturing the party's nomination. But 2024 will likely be tougher.",insider@insider.com (John L. Dorman),2023-01-28 14:00:00+00:00,https://www.businessinsider.com/trump-southern-republicans-potential-desantis-haley-2024-presidential-campaigns-2023-1,0.0,0.0,1.0,0.0,0.0
Business Insider,"Trump may be the front runner, but his rivals clearly sense blood in the water as they move to recruit at Trump's own speeches","The good news for the former president is that, for now, the rest of the 2024 GOP field remains frozen.",bgriffiths@insider.com (Brent D. Griffiths),2023-01-31 20:41:02+00:00,https://www.businessinsider.com/trump-2024-gop-new-hampshire-south-carolina-poll-desantis-2023-1,1.0,0.0,0.816,0.184,0.4019
Business Insider,Republicans are mostly ignoring a $9.4 million sexual assault lawsuit against the Trump-aligned head of CPAC,A staffer filed a $9.4 million lawsuit accusing CPAC Chair Matt Schlapp of sexual assault. Republicans say they'll go to Schlapp's conference anyway.,bmetzger@insider.com (Bryan Metzger),2023-01-30 11:00:00+00:00,https://www.businessinsider.com/republicans-ignore-matt-schlapp-cpac-sexual-assault-lawsuit-2023-1,-1.0,0.512,0.488,0.0,-0.8126
CBS News,"This week on ""Face the Nation with Margaret Brennan,"" Feb. 5, 2022","Sen. Cory Booker, Sen. Ted Cruz, Gary Cohn and more will appear on ""Face the Nation with Margaret Brennan"" this Sunday.",,2023-02-03 23:41:22+00:00,https://www.cbsnews.com/news/this-week-on-face-the-nation-with-margaret-brennan-jan-29-2023-booker-cruz-cohn-garcia-nunn-lee-lawler/,0.0,0.0,1.0,0.0,0.0
CNN,Opinion: DeSantis is backing down from a fight with Trump,"Donald Trump has repeatedly opened fire on Florida Gov. Ron DeSantis, who has failed to respond to the former President's attacks, writes Dean Obeidallah. If DeSantis runs and wants to win in 2024, he can't keep ducking Trump's barbs, he says.",Dean Obeidallah,2023-01-30 02:10:39+00:00,https://www.cnn.com/2023/01/29/opinions/trump-ron-desantis-rocky-iii-obeidallah/index.html,-1.0,0.388,0.448,0.164,-0.3612
CNN,Republicans are lashing out at DirecTV for supposedly 'censoring' conservative voices. Here's what's really going on,The right is not retreating from its fight with DirecTV.,Oliver Darcy,2023-02-02 03:40:58+00:00,https://www.cnn.com/2023/02/01/media/republicans-directv-reliable-sources/index.html,0.0,0.0,1.0,0.0,0.0
