source,title,description,author,publishedAt,url,sentimentScore,neg,neu,pos,compound
ABC News,North Carolina Senate OKs limits on LGBTQ school instruction,North Carolina’s Republican-controlled Senate has passed a bill requiring teachers to alert parents before calling their child by a different name or pronoun,HANNAH SCHOENBAUM Associated Press/Report for America,2023-02-07 22:54:34+00:00,https://abcnews.go.com/Politics/wireStory/north-carolina-senate-oks-limits-lgbtq-school-instruction-96961995,0.0,0.0,1.0,0.0,0.0
ABC News,Appeals court backs North Carolina AG Stein on libel law,A federal appeals court has sided again with North Carolina’s attorney general in a lawsuit involving a libel law that a district attorney sought to use to attempt to prosecute Josh Stein over a 2020 campaign commercial,GARY D. ROBERTSON Associated Press,2023-02-08 21:39:18+00:00,https://abcnews.go.com/Politics/wireStory/appeals-court-backs-north-carolina-ag-stein-libel-96988059,-1.0,0.13,0.87,0.0,-0.0516
ABC News,DA says libel case against N. Carolina Attorney General over,A local North Carolina prosecutor says campaign-related charges won’t be pursued further against Attorney General Josh Stein or his aides in light of a federal appeals court ruling this week,GARY D. ROBERTSON Associated Press,2023-02-09 23:23:56+00:00,https://abcnews.go.com/Politics/wireStory/da-libel-case-carolina-attorney-general-97019443,0.0,0.0,1.0,0.0,0.0
ABC News,Bill raising riot penalties in North Carolina clears House,A bill increasing punishments for violent protests following the 2020 demonstrations over George Floyd’s murder passed the House despite harsh criticism from social justice advocates,GARY D. ROBERTSON and HANNAH SCHOENBAUM Associated Press,2023-02-08 19:24:30+00:00,https://abcnews.go.com/Politics/wireStory/bill-raising-riot-penalties-north-carolina-clears-house-96984600,-1.0,0.33,0.55,0.119,-0.5106
ABC News,North Carolina Senate OKs limits on LGBTQ school instruction,North Carolina’s Republican-controlled Senate has passed a bill requiring teachers to alert parents before calling their child by a different name or pronoun,HANNAH SCHOENBAUM Associated Press/Report for America,2023-02-07 22:54:24+00:00,https://abcnews.go.com/US/wireStory/north-carolina-senate-oks-limits-lgbtq-school-instruction-96961993,0.0,0.0,1.0,0.0,0.0
ABC News,Appeals court backs North Carolina AG Stein on libel law,A federal appeals court has sided again with North Carolina’s attorney general in a lawsuit involving a libel law that a district attorney sought to use to attempt to prosecute Josh Stein over a 2020 campaign commercial,GARY D. ROBERTSON Associated Press,2023-02-08 21:24:32+00:00,https://abcnews.go.com/US/wireStory/appeals-court-backs-north-carolina-ag-stein-libel-96988057,-1.0,0.13,0.87,0.0,-0.0516
ABC News,Bill raising riot penalties in North Carolina clears House,A bill increasing punishments for violent protests following the 2020 demonstrations over George Floyd’s murder passed the House despite harsh criticism from social justice advocates,GARY D. ROBERTSON and HANNAH SCHOENBAUM Associated Press,2023-02-08 19:24:19+00:00,https://abcnews.go.com/US/wireStory/bill-raising-riot-penalties-north-carolina-clears-house-96984596,-1.0,0.33,0.55,0.119,-0.5106
Fox News,North Carolina legislature confirms Nels Roseland as state controller,The North Carolina legislature has confirmed Nels Roseland as state controller on Wednesday. Roseland was confirmed by unanimous vote in both the House and Senate.,Associated Press,2023-02-08 23:03:03+00:00,https://www.foxnews.com/politics/north-carolina-legislature-confirms-nels-roseland-state-controller,0.0,0.0,1.0,0.0,0.0
Fox News,North Carolina Senate approves bill addressing hotel guest rights,The North Carolina Senate approved a bill Thursday that addresses hotel guest rights. Democrats say the bill could harm citizens that are fearful of being thrown out of their home.,Associated Press,2023-02-09 22:19:39+00:00,https://www.foxnews.com/politics/north-carolina-senate-approves-bill-addressing-hotel-guest-rights,1.0,0.0,0.748,0.252,0.4019
NBC News,North Carolina Senate OKs limits on LGBTQ school instruction,"Public school teachers in North Carolina would be required in most circumstances to alert parents before they call a student by a different name or pronoun, under a bill passed by the Republican-controlled state Senate on Tuesday.",Associated Press,2023-02-08 18:17:30+00:00,https://www.nbcnews.com/nbc-out/out-politics-and-policy/north-carolina-senate-oks-limits-lgbtq-school-instruction-rcna69692,0.0,0.0,1.0,0.0,0.0
The Washington Post,"Democratic governors, seeing rising threats, look beyond their borders",Democratic state leaders see a federal government hamstrung to protect rights and see red-state governors pushing to restrict those rights.,Dan Balz,2023-02-11 20:26:22+00:00,https://www.washingtonpost.com/politics/2023/02/11/democrats-republicans-culture-wars/,-1.0,0.286,0.714,0.0,-0.4215
USA Today,"Duke takes down North Carolina, earning coach Jon Scheyer his first win in rivalry",Saturday's Duke-North Carolina game was the first since 1957 to be staged with neither Dean Smith nor Mike Krzyzewski on the sidelines.,"The Fayetteville Observer, David Thompson, The Fayetteville Observer",2023-02-05 02:02:40+00:00,https://www.usatoday.com/story/sports/ncaab/acc/2023/02/04/duke-beats-north-carolina-first-game-since-coach-k-retirement/11190315002/,1.0,0.0,0.725,0.275,0.5859
